topology,gain_W,broken_gain_W,retained_percent,Tstd_C,Trange_C,nominal_final_change_C,nominal_iterations,broken_final_change_C,broken_iterations,converged
parallel_stripes,5.634419481952223,5.4877249599409375,97.39645721300718,1.3505606729346724,4.331092515900732,9.846730009144267e-07,446,9.845452311196823e-07,446,True
herringbone,4.662074884040253,4.090661151581458,87.74336005595013,1.3803894475487637,4.422160077065165,9.96480778781006e-07,447,9.964760607772405e-07,447,True
radial_spokes,3.305984722149511,2.6017054981859,78.69683972690301,1.4227545136678543,4.435460021274853,9.9646186413338e-07,447,9.964601517253868e-07,447,True
leaf_venation,5.167540330748539,4.979899718955314,96.36886023556116,1.266448456165695,4.4633340262883365,9.812348551463401e-07,441,9.89645940308037e-07,441,True
redundant_mesh,5.352356995024105,5.3160657790333605,99.32195823214926,1.1700409286266094,4.270896314389539,9.78977894305899e-07,398,9.86857145335307e-07,416,True
