delta_open_mm,segment_length_mm,R_local,exchange_length_mm,center_F,mean_F
0.25,0.5,2.122015915119363,0.7139822149245365,0.9813200179391947,0.9875421404942917
0.25,1.0,2.122015915119363,0.7139822149245365,0.9348376970157525,0.9562824976522609
0.25,2.0,2.122015915119363,0.7139822149245365,0.8285330979908239,0.8823934889493351
0.25,3.0,2.122015915119363,0.7139822149245365,0.7569155775372587,0.8279465215984594
0.25,5.0,2.122015915119363,0.7139822149245365,0.6989930133231037,0.771387596379607
0.25,10.0,2.122015915119363,0.7139822149245365,0.680276656416708,0.7258925608412844
0.25,20.0,2.122015915119363,0.7139822149245365,0.6796946678382565,0.7030645289644525
0.25,50.0,2.122015915119363,0.7139822149245365,0.679694137638065,0.689375117141162
0.5,0.5,1.0610079575596816,0.8787495503274935,0.9810056656917684,0.9873412113886636
0.5,1.0,1.0610079575596816,0.8787495503274935,0.9308202436920068,0.953711433384889
0.5,2.0,1.0610079575596816,0.8787495503274935,0.7968174601146204,0.8619814604637671
0.5,3.0,1.0610079575596816,0.8787495503274935,0.6852360648660758,0.7812982898705394
0.5,5.0,1.0610079575596816,0.8787495503274935,0.5710272295447505,0.6847263920099147
0.5,10.0,1.0610079575596816,0.8787495503274935,0.5180806275996749,0.6007415969241215
0.5,20.0,1.0610079575596816,0.8787495503274935,0.5148116080642382,0.5581814300440939
0.5,50.0,1.0610079575596816,0.8787495503274935,0.5148005148009611,0.5326533401070094
1.0,0.5,0.5305039787798408,1.0197359225896463,0.9808445887227284,0.987238265983298
1.0,1.0,0.5305039787798408,1.0197359225896463,0.9286252431970589,0.9523074122474988
1.0,2.0,0.5305039787798408,1.0197359225896463,0.7762993243101234,0.8488079096685379
1.0,3.0,0.5305039787798408,1.0197359225896463,0.6317430191276587,0.7467027997197448
1.0,5.0,0.5305039787798408,1.0197359225896463,0.4583746523019302,0.609855444796801
1.0,10.0,0.5305039787798408,1.0197359225896463,0.35631995341148337,0.48073058410798747
1.0,20.0,0.5305039787798408,1.0197359225896463,0.346692477296788,0.4142330866409208
1.0,50.0,0.5305039787798408,1.0197359225896463,0.3466204506362297,0.37433644553401774
2.0,0.5,0.2652519893899204,1.1215443081840886,0.9807630467643572,0.9871861551036266
2.0,1.0,0.2652519893899204,1.1215443081840886,0.9274760772397883,0.9515725394917679
2.0,2.0,0.2652519893899204,1.1215443081840886,0.7644580308759396,0.8412140568978138
2.0,3.0,0.2652519893899204,1.1215443081840886,0.5978536450757168,0.7248510052122067
2.0,5.0,0.2652519893899204,1.1215443081840886,0.3778260771047268,0.5568319194250722
2.0,10.0,0.2652519893899204,1.1215443081840886,0.22795272707670744,0.3879050237430767
2.0,20.0,0.2652519893899204,1.1215443081840886,0.20985578636487423,0.29946292300849514
2.0,50.0,0.2652519893899204,1.1215443081840886,0.20964360620145572,0.24638088677669298
