schedule,best_fixed_layout,best_fixed_body_W_m2,adaptive_body_W_m2,adaptive_uplift_W_m2,adaptive_uplift_W_over_0p195m2,adaptive_relative_percent,adaptive_state_choices,max_switching_penalty_percent_of_adaptive_flux
commuter_backpack,pressure_aware,116.95206623811742,117.47352706007509,0.5214608219576604,0.10168486028174378,0.44587568114953235,none:four_islands;shoulder_straps:pressure_aware;backpack_plus_straps:pressure_aware,0.4438964548080601
mixed_day,pressure_aware,118.48017122339186,119.13199725083895,0.6518260274470862,0.1271060753521818,0.5501562166196461,none:four_islands;backpack_panel:pressure_aware;shoulder_straps:pressure_aware;seat_back:pressure_aware;backpack_plus_straps:pressure_aware,0.5471460585644601
seated_office,pressure_aware,120.91413919856603,122.08742604797078,1.1732868494047466,0.22879093563392558,0.9703471051288437,none:four_islands;seat_back:pressure_aware,0.9610218573563317
