pressure_map,wet_layout,body_W_m2,gain_W,evap_g_m2_h,wet_comp,air,final_change,iterations,converged
none,four_islands,127.95034755047391,5.154686947450363,243.35653784970734,0.0,1.0,1.93786576119237e-06,262,True
none,peripheral_islands,121.90757446010103,3.9514698974860396,235.44818743698426,0.0,1.0,1.9685965639837377e-06,262,True
none,center_panel,118.19131463481466,3.6663361420088703,230.63140304232041,0.0,1.0,1.9911715227749482e-06,262,True
none,upper_lower_bands,123.17704545682626,4.320488045612608,237.143861267872,0.0,1.0,1.9732761487034622e-06,262,True
none,side_columns,118.2719678204188,3.4653268350063215,230.72252699659361,0.0,1.0,1.9864408642433773e-06,262,True
none,pressure_aware,125.3430434406856,4.079229771823917,239.90475068827638,0.0,1.0,1.940380990106405e-06,262,True
backpack_panel,four_islands,97.8597487354493,3.212780926171728,172.11528481258898,0.22151157248329278,0.6107658004340689,1.9770608190583516e-06,477,True
backpack_panel,peripheral_islands,107.27273249978687,3.0211044911561857,195.48301572184405,0.12697840295295673,0.7645954084659015,1.9926401009229266e-06,477,True
backpack_panel,center_panel,65.88306373950161,1.4094747736535174,113.27163824592229,0.39781862554239855,0.3659907266191616,1.9915704072559492e-06,391,True
backpack_panel,upper_lower_bands,93.03892127077906,2.5556784625539564,164.62308075947095,0.23254328647262731,0.5933433378062704,1.985271786963949e-06,477,True
backpack_panel,side_columns,102.87802792668761,2.600223063546837,188.24585346394548,0.14000480801501333,0.7422355926831011,1.9935916739655113e-06,477,True
backpack_panel,pressure_aware,112.71792750009654,3.1307850685428753,208.86318858231874,0.07940542708844778,0.8488231716438588,1.9929339316604455e-06,477,True
shoulder_straps,four_islands,97.56553369990365,3.3171402375926378,175.45301180930286,0.2134354265117026,0.6409078051194664,1.9579151455673127e-06,427,True
shoulder_straps,peripheral_islands,115.41779805110309,3.4485724347675286,217.69891254310997,0.051949434099731,0.9045398568973598,1.9982827410558457e-06,445,True
shoulder_straps,center_panel,90.70945357039136,2.092417146319149,168.182564976069,0.20030908240592804,0.6631826132487848,1.9996748719108837e-06,438,True
shoulder_straps,upper_lower_bands,102.62025989370878,3.0052047137815947,189.73803756429203,0.1471114839925715,0.7474510892085379,1.9713524679332295e-06,446,True
shoulder_straps,side_columns,114.3009495470843,3.1641706839513604,218.20705736382078,0.03772899326509273,0.9290643970027831,1.9677253533245675e-06,450,True
shoulder_straps,pressure_aware,123.94193948991534,4.115411096185736,233.02344495394945,0.01885426574112483,0.9633950741378273,1.994745680633514e-06,451,True
seat_back,four_islands,104.92723067485927,3.785021199254592,190.63562778014438,0.16563474574607584,0.7200631355772443,1.980477186691587e-06,469,True
seat_back,peripheral_islands,109.39442858962187,3.175465846752965,203.51765463358873,0.10084633558820733,0.8187506361022802,1.992525419325375e-06,473,True
seat_back,center_panel,89.69094700287877,2.347815481607857,163.68159337555682,0.22590377910088028,0.6228796298132359,1.9862884528265567e-06,436,True
seat_back,upper_lower_bands,100.42630397725391,3.071521958238967,185.26398116356367,0.16639482532627456,0.7248049049942573,1.9944747720046507e-06,449,True
seat_back,side_columns,107.00215048634301,2.8065367327227526,200.2591049699292,0.09947064308846307,0.8168176133064615,1.991658585609457e-06,473,True
seat_back,pressure_aware,117.29049027319547,2.7299532357245897,225.5750153244349,0.011243516307281244,0.9779376434048788,1.991895274500166e-06,473,True
backpack_plus_straps,four_islands,84.26352183302339,2.5425483551037265,146.63777064097874,0.30259409673962673,0.5025646168315537,1.9870526557497215e-06,472,True
backpack_plus_straps,peripheral_islands,106.38857426135061,2.931444874385629,194.02905046801754,0.1290009343795427,0.7649600156273287,1.9644717923483768e-06,476,True
backpack_plus_straps,center_panel,60.885189810959936,1.054027904376085,104.74003722151456,0.4207853281718714,0.339529249921977,1.9995288624841123e-06,449,True
backpack_plus_straps,upper_lower_bands,86.08347584416423,2.0844483899158073,151.58032719022845,0.270025616838697,0.540465057602565,1.9891108209435515e-06,476,True
backpack_plus_straps,side_columns,103.9281223597298,2.6259029331501234,190.8283782218128,0.1295274516335703,0.762911439413821,1.9746892334637778e-06,473,True
backpack_plus_straps,pressure_aware,112.75717942537383,2.9030935728460143,211.19279809569574,0.06105277879460284,0.8826364112861196,1.971549231427616e-06,477,True
