delta_open_mm,velocity_mm_s,R_local,Pe_length,center_F,mean_F
0.5,0,1.0610079575596816,0.0,0.5148005148009589,0.5324504855971547
0.5,1,1.0610079575596816,1.7857142857142858,0.5148005148010069,0.5324620767444262
0.5,5,1.0610079575596816,8.928571428571429,0.5148005148025212,0.5325500862955062
0.5,10,1.0610079575596816,17.857142857142858,0.5148005148153167,0.5327523859609211
0.5,50,1.0610079575596816,89.2857142857143,0.5148010633833853,0.5374358765779828
0.5,100,1.0610079575596816,178.5714285714286,0.5149307951280023,0.5476136731815296
0.5,500,1.0610079575596816,892.8571428571429,0.5948699950056127,0.6470471223879697
0.5,1000,1.0610079575596816,1785.7142857142858,0.7111704078682082,0.7398721221079927
1.0,0,0.5305039787798408,0.0,0.34662045063616365,0.37406636295754736
1.0,1,0.5305039787798408,1.7857142857142858,0.34662045063945346,0.37408561365547394
1.0,5,0.5305039787798408,8.928571428571429,0.3466204507398134,0.37425023628379306
1.0,10,0.5305039787798408,17.857142857142858,0.3466204515476018,0.3746495432088117
1.0,50,0.5305039787798408,89.2857142857143,0.34663466069627713,0.3839879418519944
1.0,100,0.5305039787798408,178.5714285714286,0.3478871571566369,0.4034498231833651
1.0,500,0.5305039787798408,892.8571428571429,0.5176941779909194,0.5752833417433362
1.0,1000,0.5305039787798408,1785.7142857142858,0.6802603977582267,0.70689026768951
